id	sec	std	jn	jb
L2U-0001	식당주문	여기 주문 받아 주세요	여그 주문 받아 주쇼	여그 주문 받아 주쇼
L2U-0002	식당주문	이거 하나 주세요	요거 하나 주쇼잉	요거 하나 주쇼잉
L2U-0003	식당주문	뭐가 제일 맛있어요?	뭐시 젤로 맛있당가요?	뭐가 젤로 맛있당가요?
L2U-0004	식당주문	이거 양이 많아요?	요거 양이 많소?	요거 양이 많소?
L2U-0005	식당주문	곱빼기로 주세요	곱빼기로 주씨요	곱빼기로 주씨요
L2U-0006	식당주문	덜 맵게 해 주세요	안 맵게 해 주쇼	안 맵게 해 주쇼
L2U-0007	식당주문	국물 더 주세요	국물 좀 더 주랑께요	국물 좀 더 주랑게요
L2U-0008	식당주문	반찬 더 주실 수 있어요?	반찬 좀 더 주실라요?	반찬 좀 더 주실라요?
L2U-0009	식당주문	이거 둘이 먹어도 돼요?	요거 둘이 묵어도 되까요?	요거 둘이 먹어도 되까요?
L2U-0010	식당주문	빨리 좀 해 주세요	후딱 좀 해 주쇼	후딱 좀 해 주쇼
L2U-0011	식당주문	아직 안 나왔어요	아직도 안 나와브렀소	아직도 안 나와버렸어라우
L2U-0012	식당주문	이건 안 시켰는데요	요건 안 시켰는디요	요건 안 시켰는디요
L2U-0013	식당주문	숟가락 하나 더 주세요	숟구락 하나 더 주씨요	숟구락 하나 더 주씨요
L2U-0014	식당주문	여기 물 좀 주세요	여그 물 좀 주쇼잉	여그 물 좀 주쇼잉
L2U-0015	식당주문	다 먹었으니 치워 주세요	다 묵었응께 치와 주쇼	다 먹었응게 치와 주쇼
L2U-0016	식당주문	포장도 돼요?	싸 갖고 가도 되까요?	싸 갖고 가도 되까요?
L2U-0017	식당주문	너무 짜요	허벌나게 짜브요	허벌나게 짜요
L2U-0018	식당주문	잘 먹었습니다	겁나게 잘 묵었구만이라	겁나게 잘 먹었구만이라
L2U-0019	식당주문	자리 좀 옮겨도 될까요?	자리 좀 옴겨도 되까요?	자리 좀 옮겨도 되까요?
L2U-0020	식당주문	메뉴판 좀 다시 주세요	메뉴판 좀 다시 주쇼	메뉴판 좀 다시 주쇼
L2U-0021	식당주문	이거 맵지 않아요?	요거 맵지 않소?	요거 맵지 않소?
L2U-0022	식당주문	고기 좀 더 구워 주세요	괴기 좀 더 꾸 주쇼	괴기 좀 더 꾸 주쇼
L2U-0023	식당주문	공기밥 하나 추가요	공기밥 하나 더 주쇼잉	공기밥 하나 더 주쇼잉
L2U-0024	식당주문	이 집은 뭐가 유명해요?	요 집은 뭐시 유명항가요?	요 집은 뭐가 유명항가요?
L2U-0025	식당주문	좀 식혀서 주세요	좀 식혀서 주쇼	좀 식혀서 주쇼
L2U-0026	식당주문	간이 좀 센데요	간이 좀 쎄구만이라	간이 좀 쎄구만이라
L2U-0027	식당주문	이거 리필 되나요?	요거 또 주는 거요?	요거 또 주는 거요?
L2U-0028	식당주문	앞접시 좀 주세요	앞접시 좀 주쇼잉	앞접시 좀 주쇼잉
L2U-0029	식당주문	덜 익은 것 같아요	덜 익은 거 같소	덜 익은 거 같소
L2U-0030	식당주문	매운 거 빼고 주세요	매운 거 빼고 주쇼	매운 거 빼고 주쇼
L2U-0031	식당주문	두 명인데 자리 있어요?	둘인디 자리 있소?	둘인디 자리 있소?
L2U-0032	식당주문	이거 데워 주세요	요거 뎁혀 주쇼	요거 뎁혀 주쇼
L2U-0033	식당주문	계산은 따로 할게요	곈산은 따로 헐라요	계산은 따로 헐라요
L2U-0034	식당주문	주문한 거 언제 나와요?	시킨 거 언제 나온당가요?	시킨 거 언제 나온당가요?
L2U-0035	식당주문	이거 두 개 주세요	요거 두 개 주쇼잉	요거 두 개 주쇼잉
L2U-0036	식당주문	맵게 해 주세요	맵게 해 주쇼	맵게 해 주쇼
L2U-0037	식당주문	소금 좀 주세요	소금 좀 주쇼잉	소금 좀 주쇼잉
L2U-0038	식당주문	김치 좀 더 주세요	짐치 좀 더 주쇼	짐치 좀 더 주쇼
L2U-0039	식당주문	물 한 잔 더 주세요	물 한 잔 더 주씨요	물 한 잔 더 주씨요
L2U-0040	식당주문	이거 무슨 맛이에요?	요거 뭔 맛이당가요?	요거 뭔 맛이당가요?
L2U-0041	식당주문	양 좀 적게 주세요	양 좀 쪼깐 주쇼	양 좀 쪼깐 주쇼
